name, keyCombinationPath, imagePath
120MM Barrage,Stratagem List/Orbitals/120_Barrage.txt,Assets/Orbitals/120_Barrage.png
380MM Barrage,Stratagem List/Orbitals/380_Barrage.txt,Assets/Orbitals/380_Barrage.png
Airburst Strike,Stratagem List/Orbitals/Airburst_Strike.txt,Assets/Orbitals/Airburst_Strike.png
EMS Strike,Stratagem List/Orbitals/EMS_Strike.txt,Assets/Orbitals/EMS_Strike.png
Gas Strike,Stratagem List/Orbitals/Gas_Strike.txt,Assets/Orbitals/Gas_Strike.png
Gatling Barrage,Stratagem List/Orbitals/Gatling_Barrage.txt,Assets/Orbitals/Gatling_Barrage.png
Laser,Stratagem List/Orbitals/Laser.txt,Assets/Orbitals/Laser.png
Napalm Barrage,Stratagem List/Orbitals/Napalm_Barrage.txt,Assets/Orbitals/Napalm_Barrage.png
Precision Strike,Stratagem List/Orbitals/Precision_Strike.txt,Assets/Orbitals/Precision_Strike.png
Railcannon Strike,Stratagem List/Orbitals/Railcannon_Strike.txt,Assets/Orbitals/Railcannon_Strike.png
Smoke Strike,Stratagem List/Orbitals/Smoke_Strike.txt,Assets/Orbitals/Smoke_Strike.png
Walking Barrage,Stratagem List/Orbitals/Walking_Barrage.txt,Assets/Orbitals/Walking_Barrage.png
