name, keyCombinationPath, imagePath
Airburst Rocket Launcher,Stratagem List/Support Weapons/Airburst_Rocket_Launcher.txt,Assets/Support Weapons/Airburst_Rocket_Launcher.png
Anti Material Rifle,Stratagem List/Support Weapons/Anti_Material_Rifle.txt,Assets/Support Weapons/Anti_Material_Rifle.png
Arc Thrower,Stratagem List/Support Weapons/Arc_Thrower.txt,Assets/Support Weapons/Arc_Thrower.png
Autocannon,Stratagem List/Support Weapons/Autocannon.txt,Assets/Support Weapons/Autocannon.png
Commando,Stratagem List/Support Weapons/Commando.txt,Assets/Support Weapons/Commando.png
Expendable Anti Tank,Stratagem List/Support Weapons/Expendable_Anti_Tank.txt,Assets/Support Weapons/Expendable_Anti_Tank.png
Flamethrower,Stratagem List/Support Weapons/Flamethrower.txt,Assets/Support Weapons/Flamethrower.png
Grenade Launcher,Stratagem List/Support Weapons/Grenade_Launcher.txt,Assets/Support Weapons/Grenade_Launcher.png
Heavy Machine Gun,Stratagem List/Support Weapons/Heavy_Machine_Gun.txt,Assets/Support Weapons/Heavy_Machine_Gun.png
Laser Cannon,Stratagem List/Support Weapons/Laser_Cannon.txt,Assets/Support Weapons/Laser_Cannon.png
Medium Machine Gun,Stratagem List/Support Weapons/Medium_Machine_Gun.txt,Assets/Support Weapons/Medium_Machine_Gun.png
Quasar Cannon,Stratagem List/Support Weapons/Quasar_Cannon.txt,Assets/Support Weapons/Quasar_Cannon.png
Railgun,Stratagem List/Support Weapons/Railgun.txt,Assets/Support Weapons/Railgun.png
Recoiless Rifle,Stratagem List/Support Weapons/Recoiless_Rifle.txt,Assets/Support Weapons/Recoiless_Rifle.png
Spear,Stratagem List/Support Weapons/Spear.txt,Assets/Support Weapons/Spear.png
Stalwart,Stratagem List/Support Weapons/Stalwart.txt,Assets/Support Weapons/Stalwart.png
Sterilizer,Stratagem List/Support Weapons/Sterilizer.txt,Assets/Support Weapons/Sterilizer.png
Wasp Launcher,Stratagem List/Support Weapons/Wasp_Launcher.txt,Assets/Support Weapons/Wasp_Launcher.png
